url,img,discription
https://www.ebay.com/p/17064923339?iid=116559489209&var=417171478769,./ebay_files/s-l960(34).webp,Samsung Galaxy S24 128GB 5G SM-S921U1 FACTORY UNLOCKED CDMA + GSM - EXCELLENT - Image 1 of 4
https://www.ebay.com/p/7049287499?iid=354393355064&var=623805665188,./ebay_files/s-l960(35).webp,Apple iPhone 13 A2482 128GB Network Unlocked Very Good Condition - Image 1 of 1
https://www.ebay.com/p/25074098245?iid=156815506333&var=458219548529,./ebay_files/s-l960(36).webp,Apple iPhone 12 Pro 128GB 256GB 512GB Unlocked Smartphone - All Colors - Good - Image 1 of 1
https://www.ebay.com/p/18074867630?iid=257571663748&var=558186493974,./ebay_files/s-l960(37).webp,Samsung Galaxy S25 Ultra 512GB S938U Unlocked - Open Box - Image 1 of 2
https://www.ebay.com/itm/236252720404?epid=19034211488&itmmeta=01KWF1MP4Y5EJG66Z6R0VZDRTT&hash=item3701c26d14:g:ufUAAOSwff1kQwEh&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luq%2BtPEQb9OERCZRHAcn2vTKz9bPba3bp42x3B3%2FyMvIJPPsHr8UHzJ2i5QXq1sUJHuTfWQX3R3haU%2BWTAmcHyE3hHBH9m4w%2FA9Xd4QcSiZ192c7RA0Snqcd9thUjuK8aGe6oSHh46dm9iN3fBkCUOd%2B0sXml7eVhO6em3hQVB8mpbWIfNIen1pD%2BUL3jV6Ylj7%2BABFdaqYx6ZEKd08AJgC75NxDo7p%2ByuRjGNIvJOeCR%2BwsCwdj1JoomYEUnHa4PDlF0rztCo733fXsPjb%2BWDtJ%7Ctkp%3ABFBMyOLS4eNn&var=536813185542,./ebay_files/s_1x2.gif,Apple iPhone 11 Pro Max 64/256/512GB Unlocked - Refurbished Excellent - Image 1 of 4
https://www.ebay.com/itm/297281619485?epid=19071468686&itmmeta=01KWF1MP4ZT11AWYQ679FKNA68&hash=item45375d861d:g:2igAAOSwlFloGeOl&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LupLLkSpcxM09ufnt0oBGZ0Byfa3w%2FIn9%2F3xEc7YyptP0xNfQtmYZDSgDFUDLYhA4TQNnjSiuKRL72vB0XzuvtC2F1GSj9kF0i4OFJ1tM6zOdmHBCvVdT22e780B%2FgbX2FRroVHVNDKI%2BIPs%2FADTybGmqBAHzP4mmfWjXFSZRueZkz7foSRoG3FctIQImCF1qH4xasHLJ4SA89OoELtyhvTt03DVMAgsJ%2FoWnEGqh51s%2F8UnlCvqlvRRhBjGZJTpnzlXIpLT5xJBXU25cyfu%2F8lF%7Ctkp%3ABFBMyOLS4eNn&var=594842919272,./ebay_files/s_1x2.gif,New Sealed Samsung Galaxy S21 Ultra 5G 128GB/ 256GB SM-G998U Factory Unlocked - Image 1 of 3
https://www.ebay.com/p/4064918154?iid=318199900203&var=616735835407,./ebay_files/s-l960(38).webp,"Samsung Galaxy S24 Ultra (5G) 256GB/512GB S928U Factory Unlocked,New & Sealed - Image 1 of 4"
https://www.ebay.com/p/9062763667?iid=356227859677&var=625224267959,./ebay_files/s-l960(39).webp,Apple iPhone 15 Pro Max A2849 256GB Unlocked Very Good - Image 1 of 1
https://www.ebay.com/p/26049291214?iid=156744846451&var=458131107767,./ebay_files/s-l960(40).webp,Apple iPhone 13 mini 128GB 256GB 512GB Unlocked Smartphone - All Colors - Good - Image 1 of 4
https://www.ebay.com/p/2330090727?iid=357600879787&var=626195117824,./ebay_files/s-l960(41).webp,Samsung Galaxy S23 SM-S911U 128GB Unlocked Very Good Condition - Image 1 of 1
https://www.ebay.com/p/28071476588?iid=176805610914,./ebay_files/s-l960(42).webp,NEW SEALED Samsung Galaxy A15 5G 128GB Factory Unlocked 6.5'' - Blue Black - Image 1 of 4
https://www.ebay.com/p/11056248070?iid=406958568415&var=677158568919,./ebay_files/s-l960(43).webp,"Apple iPhone 14 128GB 6.1"" Fully Unlocked - 100% Functional - Excellent . LB - Image 1 of 1"
https://www.ebay.com/p/26049290840?iid=127948232745&var=429132740667,./ebay_files/s-l960(44).webp,Apple iPhone 13 Pro 128GB A2483 Unlocked Very Good Condition All Colors - Image 1 of 1
https://www.ebay.com/itm/185698601733?itmmeta=01KWF1MP4ZTTKGPJ44J5MQMPFP&hash=item2b3c7fcb05:g:8fUAAOSwKQFi5E5W&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4Lur1jrDnip2LqO5PkooCC4subN99D325Fh8fRiTl0l5Szl%2BH5aMwNjZGbGEi0o6JcFaM1JiDq1rZ4TAK7%2FYzXb9nkAAR2kmQSHI9de%2FKIxM5M7qn8qgWGNtTDMt18TSIRKqw0zPVi3%2BmdK72kWm9bSz%2BsDd8akNS3aCnkgpP9UmFZu1i%2BeLdr0XS%2FcUb2S3TljnmTRWfsUt4Zag0qZ3i74svxwNykOq51yXK3GxWeRtJ5Q%3D%3D%7Ctkp%3ABk9SR8ji0uHjZw&var=694403158216,./ebay_files/s-l960(45).webp,Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished - Image 1 of 4
https://www.ebay.com/p/22071465436?iid=127948205300&var=429132828184,./ebay_files/s-l960(46).webp,Apple iPhone 16 Pro Max 512GB A3084 Unlocked Very Good Condition All Colors - Image 1 of 1
https://www.ebay.com/p/7056262374?iid=295504908589&var=593592859633,./ebay_files/s-l960(47).webp,Apple iPhone 14 256GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition - Image 1 of 4
